song,album,genre,mood,theme,features
Tim McGraw,Taylor Swift,Country,Romantic,First Love,"country acoustic nostalgic first love"
Picture to Burn,Taylor Swift,Country,Angry,Breakup,"country breakup revenge energetic"
Teardrops on My Guitar,Taylor Swift,Country,Emotional,Unrequited Love,"country emotional crush heartbreak"
A Place in This World,Taylor Swift,Country,Hopeful,Self Discovery,"country hopeful growing up"
Cold as You,Taylor Swift,Country,Sad,Toxic Relationship,"country heartbreak emotional"
The Outside,Taylor Swift,Country,Lonely,Belonging,"country loneliness outsider"
Tied Together with a Smile,Taylor Swift,Country,Emotional,Mental Health,"country emotional friendship support"
Stay Beautiful,Taylor Swift,Country,Happy,Admiration,"country happy crush"
Should've Said No,Taylor Swift,Country,Angry,Cheating,"country betrayal revenge"
Mary's Song (Oh My My My),Taylor Swift,Country,Romantic,Growing Love,"country childhood romance"
Our Song,Taylor Swift,Country,Happy,Young Love,"country fun romance"
I'm Only Me When I'm With You,Taylor Swift,Country,Happy,Friendship,"country friendship upbeat"
Invisible,Taylor Swift,Country,Sad,Hidden Love,"country emotional unseen love"
Fearless,Fearless,Country Pop,Confident,Courage,"country pop fearless confidence"
Fifteen,Fearless,Country Pop,Nostalgic,Teenage Life,"school friendship growing up"
Love Story,Fearless,Country Pop,Romantic,Love,"fairytale romance prince princess"
Hey Stephen,Fearless,Country Pop,Happy,Crush,"cute happy crush"
White Horse,Fearless,Country Pop,Sad,Breakup,"heartbreak emotional goodbye"
You Belong With Me,Fearless,Country Pop,Hopeful,Love,"best friend romance"
Breathe,Fearless,Country Pop,Sad,Friendship,"goodbye emotional friendship"
Tell Me Why,Fearless,Country Pop,Angry,Toxic Relationship,"arguments toxic relationship"
You're Not Sorry,Fearless,Country Pop,Angry,Betrayal,"betrayal heartbreak"
The Way I Loved You,Fearless,Country Pop,Passionate,Love,"intense emotional romance"
Forever & Always,Fearless,Country Pop,Angry,Breakup,"breakup energetic"
The Best Day,Fearless,Country Pop,Happy,Family,"mother family childhood"
Change,Fearless,Country Pop,Inspirational,Success,"dreams motivation victory"
Jump Then Fall,Fearless,Country Pop,Happy,Love,"romantic upbeat"
Untouchable,Fearless,Country Pop,Dreamy,Admiration,"dreamy beautiful love"
Come In With The Rain,Fearless,Country Pop,Hopeful,Second Chance,"hope relationship"
Superstar,Fearless,Country Pop,Dreamy,Admiration,"celebrity crush"
The Other Side of the Door,Fearless,Country Pop,Emotional,Relationship,"fight apology romance"
Mr. Perfectly Fine,Fearless (Taylor's Version),Country Pop,Sassy,Breakup,"confident breakup attitude"
